transcript_id,transcript_position,score
ENST00000000233,244,0.0626759
ENST00000000233,261,0.03770684
ENST00000000233,316,0.15361096
ENST00000000233,332,0.2995646
ENST00000000233,368,0.17336434
ENST00000000233,404,0.05195578
ENST00000000233,431,0.124145485
ENST00000000233,440,0.013893569
ENST00000000233,471,0.74754184
ENST00000000233,539,0.12562035
ENST00000000233,571,0.11984452
ENST00000000233,575,0.034145933
ENST00000000233,665,0.6221766
ENST00000000233,696,0.0018214076
ENST00000000233,752,0.0040270924
ENST00000000233,757,0.13689262
ENST00000000233,765,0.82576513
ENST00000000233,913,0.798847
ENST00000000412,355,0.033214495
ENST00000000412,367,0.40702865
ENST00000000412,496,0.2635994
ENST00000000412,501,0.50816417
ENST00000000412,547,0.16832334
ENST00000000412,559,0.07252995
ENST00000000412,627,0.016581688
ENST00000000412,674,0.3352792
ENST00000000412,769,0.11413688
ENST00000000412,783,0.115334414
ENST00000000412,793,0.23364612
ENST00000000412,854,0.01082003
ENST00000000412,923,0.15062547
ENST00000000412,932,0.010263965
ENST00000000412,1190,0.06341401
ENST00000000412,1209,0.011701654
ENST00000000412,1250,0.02288211
ENST00000000412,1283,0.10065185
ENST00000000412,1343,0.019832568
ENST00000000412,1458,0.14977337
ENST00000000412,1545,0.04514408
ENST00000000412,1570,0.103570275
ENST00000000412,1638,0.14965408
ENST00000000412,1661,0.34357777
ENST00000000412,1699,0.07739727
ENST00000000412,1790,0.63712937
ENST00000000412,1860,0.055138562
ENST00000000412,1888,0.021511635
ENST00000000412,1960,0.36526737
ENST00000000412,1986,0.6859791
ENST00000000412,2195,0.03685649
ENST00000000412,2230,0.054917812
ENST00000000412,2275,0.35986078
ENST00000000412,2434,0.01838473
ENST00000000412,2440,0.9774883
ENST00000000412,2462,0.60598886
ENST00000000412,2484,0.0071448693
ENST00000000412,2499,0.8162455
ENST00000000412,2564,0.03452436
ENST00000000412,2580,0.9386944
ENST00000000412,2618,0.037977464
ENST00000000412,2707,0.010882666
ENST00000000412,2728,0.12376463
ENST00000001008,190,0.0026302338
ENST00000001008,257,0.027391823
ENST00000001008,270,0.06261763
ENST00000001008,338,0.30015415
ENST00000001008,389,0.26760745
ENST00000001008,410,0.26411772
ENST00000001008,425,0.077339016
ENST00000001008,458,0.14819016
ENST00000001008,510,0.037188195
ENST00000001008,652,0.14027517
ENST00000001008,725,0.13596083
ENST00000001008,737,0.073662385
ENST00000001008,776,0.070984565
ENST00000001008,831,0.3703256
ENST00000001008,990,0.15412225
ENST00000001008,1179,0.1081556
ENST00000001008,1214,0.00076540496
ENST00000001008,1227,0.67514247
ENST00000001008,1232,0.37777463
ENST00000001008,1289,0.1437269
ENST00000001008,1296,0.7493695
ENST00000001008,1357,0.00021986676
ENST00000001008,1454,0.043102853
ENST00000001008,1484,0.33766735
ENST00000001008,1496,0.1875437
ENST00000001008,1555,0.1775871
ENST00000001008,1642,0.12768577
ENST00000001008,1666,0.069680996
ENST00000001008,1793,0.3414314
ENST00000001008,1905,0.27756152
ENST00000001008,1924,0.4860039
ENST00000001008,2002,0.62515265
ENST00000001008,2013,0.005188753
ENST00000001008,2095,0.18969391
ENST00000001008,2242,0.014792655
ENST00000002165,35,0.021750951
